case_id,comment_count_ref,comment_count_effective,anger_count,anger_mean_score,anger_rate,high_anger_flag
v265,0,13,0,0.00030075014700951916,0.0,0
v266,0,18,3,0.18894814680445254,0.16666666666666666,0
v267,0,661,111,0.1664212478659553,0.16792738275340394,0
v268,0,590,50,0.085448061344437,0.0847457627118644,0
v269,0,50,4,0.07877997499221237,0.08,0
v270,0,150,22,0.15048691732804098,0.14666666666666667,0
v271,0,100,12,0.1204289190464624,0.12,0
v272,0,200,22,0.11057925378932851,0.11,0
v273,0,198,20,0.10148175533950879,0.10101010101010101,0
v274,0,10,1,0.1001600419440365,0.1,0
v275,0,250,51,0.2039170704858843,0.204,0
v276,0,36,2,0.05676344431534138,0.05555555555555555,0
v277,0,100,15,0.1509852627851069,0.15,0
v278,0,67,12,0.16701741649110283,0.1791044776119403,0
v279,0,3,0,0.0001922681840369478,0.0,0
v280,0,5,0,0.0018364889605436475,0.0,0
v281,0,436,80,0.1838909987534595,0.1834862385321101,0
v282,0,50,21,0.41983557352097706,0.42,1
v283,0,12,0,0.0005447211406135466,0.0,0
v284,0,5,1,0.20022431916731875,0.2,0
v285,0,22,5,0.22785742871499018,0.22727272727272727,0
v286,0,3,0,0.0002044858216928939,0.0,0
v287,0,8,2,0.25019780668208114,0.25,0
pre_final_295,0,1,0,0.002436025533825159,0.0,0
v288,0,5,0,0.00042866876028710974,0.0,0
v289,0,100,13,0.13110687383887126,0.13,0
v290,0,29,1,0.03500399139513069,0.034482758620689655,0
v291,0,2856,131,0.04679104399788319,0.04586834733893557,0
v292,0,33,1,0.030657009940169344,0.030303030303030304,0
v293,0,49,10,0.2078516030610166,0.20408163265306123,0
v294,0,199,7,0.03564845272629456,0.035175879396984924,0
v295,0,296,26,0.08824769516267889,0.08783783783783784,0
v296,0,50,6,0.12016023009622585,0.12,0
v297,0,291,20,0.0693749723690904,0.06872852233676977,0
v298,0,34,5,0.15334328565222677,0.14705882352941177,0
v299,0,49,8,0.170703773393013,0.16326530612244897,0
v300,0,249,12,0.04923809556346377,0.04819277108433735,0
v301,0,50,3,0.06041386189986952,0.06,0
v302,0,35,2,0.057301845543302726,0.05714285714285714,0
v303,0,99,3,0.03143571304238808,0.030303030303030304,0
v304,0,3602,618,0.17168862562134385,0.17157134925041642,0
v305,0,335,45,0.13536650838868808,0.13432835820895522,0
v306,0,200,19,0.09476139548442006,0.095,0
v307,0,18,6,0.3323558421575904,0.3333333333333333,1
v308,0,50,10,0.2000838665678748,0.2,0
v309,0,1514,64,0.042033873359016774,0.04227212681638045,0
v310,0,250,42,0.1680487625158712,0.168,0
v311,0,942,32,0.03382333098810059,0.03397027600849257,0
v312,0,50,0,0.0005345283818314784,0.0,0
v313,0,350,27,0.07732807243183613,0.07714285714285714,0
v314,0,34,1,0.02969403679836593,0.029411764705882353,0
v315,0,370,68,0.18361337697180619,0.1837837837837838,0
v316,0,39,6,0.1546069709587848,0.15384615384615385,0
v317,0,100,8,0.07989109187677969,0.08,0
v318,0,99,19,0.19443732111547507,0.1919191919191919,0
v319,0,736,126,0.1707502483479412,0.17119565217391305,0
v320,0,99,13,0.12638137983506595,0.13131313131313133,0
v321,0,35,4,0.11464866643946152,0.11428571428571428,0
v322,0,475,79,0.17039884435356822,0.16631578947368422,0
v323,0,5,0,0.0005910657229833305,0.0,0
v324,0,172,35,0.20374848045475816,0.20348837209302326,0
v325,0,18,2,0.11124986023464266,0.1111111111111111,0
v326,0,54,2,0.03743012245562299,0.037037037037037035,0
v327,0,23,0,0.0008395115817066929,0.0,0
v328,0,33,0,0.0009395430251694934,0.0,0
v329,0,277,23,0.08307145976061214,0.08303249097472924,0
v330,0,82,8,0.09662896761646396,0.0975609756097561,0
v331,0,8,2,0.24962078852877312,0.25,0
v332,0,383,63,0.16812832686156967,0.16449086161879894,0
v333,0,43,3,0.07367548907698852,0.06976744186046512,0
v334,0,752,155,0.20514748646397454,0.20611702127659576,0
v335,0,8,2,0.25162160432773817,0.25,0
v336,0,28,4,0.12938542453853838,0.14285714285714285,0
v337,0,20,0,0.000560666861201753,0.0,0
v338,0,9,0,0.00048032229986145266,0.0,0
v339,0,65,4,0.061722508813545574,0.06153846153846154,0
v340,0,1903,281,0.14780148526103679,0.14766158696794535,0
